Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             20	         6	00100080	00c0006f	jal	x0,10008c	  x0=0x00000000
             22	         7	0010008c	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
             24	         8	00100090	8106	c.mv	x2,x1	  x0:0x00000000  x1:0x00000000  x2=0x00000000
             26	         9	00100092	8186	c.mv	x3,x1	  x0:0x00000000  x1:0x00000000  x3=0x00000000
             28	        10	00100094	8206	c.mv	x4,x1	  x0:0x00000000  x1:0x00000000  x4=0x00000000
             30	        11	00100096	8286	c.mv	x5,x1	  x0:0x00000000  x1:0x00000000  x5=0x00000000
             32	        12	00100098	8306	c.mv	x6,x1	  x0:0x00000000  x1:0x00000000  x6=0x00000000
             34	        13	0010009a	8386	c.mv	x7,x1	  x0:0x00000000  x1:0x00000000  x7=0x00000000
             36	        14	0010009c	8406	c.mv	x8,x1	  x0:0x00000000  x1:0x00000000  x8=0x00000000
             38	        15	0010009e	8486	c.mv	x9,x1	  x0:0x00000000  x1:0x00000000  x9=0x00000000
             40	        16	001000a0	8506	c.mv	x10,x1	  x0:0x00000000  x1:0x00000000 x10=0x00000000
             42	        17	001000a2	8586	c.mv	x11,x1	  x0:0x00000000  x1:0x00000000 x11=0x00000000
             44	        18	001000a4	8606	c.mv	x12,x1	  x0:0x00000000  x1:0x00000000 x12=0x00000000
             46	        19	001000a6	8686	c.mv	x13,x1	  x0:0x00000000  x1:0x00000000 x13=0x00000000
             48	        20	001000a8	8706	c.mv	x14,x1	  x0:0x00000000  x1:0x00000000 x14=0x00000000
             50	        21	001000aa	8786	c.mv	x15,x1	  x0:0x00000000  x1:0x00000000 x15=0x00000000
             52	        22	001000ac	8806	c.mv	x16,x1	  x0:0x00000000  x1:0x00000000 x16=0x00000000
             54	        23	001000ae	8886	c.mv	x17,x1	  x0:0x00000000  x1:0x00000000 x17=0x00000000
             56	        24	001000b0	8906	c.mv	x18,x1	  x0:0x00000000  x1:0x00000000 x18=0x00000000
             58	        25	001000b2	8986	c.mv	x19,x1	  x0:0x00000000  x1:0x00000000 x19=0x00000000
             60	        26	001000b4	8a06	c.mv	x20,x1	  x0:0x00000000  x1:0x00000000 x20=0x00000000
             62	        27	001000b6	8a86	c.mv	x21,x1	  x0:0x00000000  x1:0x00000000 x21=0x00000000
             64	        28	001000b8	8b06	c.mv	x22,x1	  x0:0x00000000  x1:0x00000000 x22=0x00000000
             66	        29	001000ba	8b86	c.mv	x23,x1	  x0:0x00000000  x1:0x00000000 x23=0x00000000
             68	        30	001000bc	8c06	c.mv	x24,x1	  x0:0x00000000  x1:0x00000000 x24=0x00000000
             70	        31	001000be	8c86	c.mv	x25,x1	  x0:0x00000000  x1:0x00000000 x25=0x00000000
             72	        32	001000c0	8d06	c.mv	x26,x1	  x0:0x00000000  x1:0x00000000 x26=0x00000000
